"Nombre";"Especialidad";"Subespecialidad";"Web";"Telefono";"Email";"Direccion_Zona";"Valoracion_Google";"Numero_resenas";"Usa_Google_Ads";"GBP_optimizado";"Oportunidad_detectada";"Puntuacion_0_100";"Prioridad";"Tiene_web";"Resumen_web";"DAFO_fortalezas";"DAFO_debilidades";"DAFO_oportunidades";"DAFO_amenazas";"LinkedIn_URL";"LinkedIn_decision";"Fuente"
"Centro Urológico San Ignacio";"Urología";"General";"https://centrourologico.es";"";"centrourologico@centrourologico.es";"Sevilla";"4,6";"";"SÍ";"SÍ";"Fundado 1990 web mejorable";"70";"Alta";"SÍ";"Fundado 1990 unidad dolor";"";"";"";"";"";"";"ampliada-v2"
"Centro Voces";"Logopedia";"Integral";"https://www.centrovoces.es";"";"info@centrovoces.es";"Sevilla";"4,6";"";"SÍ";"SÍ";"Web premium";"70";"Alta";"SÍ";"Logopedia psicología pedagogía integral";"";"";"";"";"";"";"ampliada-v2"
"Clínica Centro Sevilla";"Odontología";"Especialidades";"https://www.clinicacentrosevilla.com";"";"info@clinicacentrosevilla.com";"Centro, Sevilla";"4,7";"";"NO";"SÍ";"+20 años, web básica sin blog";"70";"Alta";"SÍ";"Reconstrucción ósea";"";"";"";"";"";"";"ampliada-v2"
"Clínica Dental Galán y Peláez";"DENTAL";"Odontología general, implantes, ortodoncia, estética";"https://galanypelaez.es";"954 43 90 73";"inforonda@galanypelaez.es";"Ronda de Capuchinos 31-35, 41003 Sevilla + Estrella Canopus 23 + Camas";"";"";"SÍ";"SÍ";"3 sedes. Fuerte en TikTok/Instagram. Campañas activas. Oportunidad en contenido SEO.";"70";"B";"SÍ";"Web moderna con diseño cuidado, blog, fuerte presencia en TikTok, Instagram y Facebook";"3 sedes (Sevilla capital + Camas), fuerte presencia en redes sociales (TikTok, Instagram), equipo joven y dinámico";"Contenido web mejorable en profundidad SEO, blog con pocos artículos";"Reforzar SEO local para cada sede, crear contenido de valor para blog, campañas SEM segmentadas";"Franquicias dentales low-cost con mayor inversión publicitaria, Vitaldent, CEOP";"";"";"ampliada"
"Clínica NES";"Nutrición";"Dietética";"https://clinicanes.es";"";"lopd@clinicanes.es";"Sevilla";"4,6";"";"SÍ";"SÍ";"Desde 1990 oportunidad contenido";"70";"Alta";"SÍ";"Desde 1990 +20.000 pacientes";"";"";"";"";"";"";"ampliada-v2"
"Clínica Ruher";"Odontología";"General";"http://www.clinicaruher.es";"";"clinicaruher@clinicaruher.es";"C. Virgen de Luján 31, 41011 Sevilla";"4,7";"";"NO";"SÍ";"Sin blog activo ni contenidos";"70";"Alta";"SÍ";"Implantes, Invisalign, urgencias";"";"";"";"";"";"";"ampliada-v2"
"Hospital Quirónsalud Sagrado Corazón";"Hospital Privado";"Multiespecialidad";"https://www.quironsalud.com/sagrado-corazon";"";"info@quironsalud.es";"Sevilla";"4,6";"";"SÍ";"SÍ";"Gran grupo";"70";"Alta";"SÍ";"Hospital privado referencia";"";"";"";"";"";"";"ampliada-v2"
"Salas Lluch";"Fisioterapia";"Multidisciplinar";"https://www.salaslluch.com";"";"clinicasalaslluch@gmail.com";"Sevilla";"4,6";"";"SÍ";"SÍ";"Homologada Junta Andalucía";"70";"Alta";"SÍ";"Centro médico homologado";"";"";"";"";"";"";"ampliada-v2"
"CALIDENTAL";"Odontología";"Implantes";"https://calidental.es";"";"info@calidental.es";"Sevilla y Mairena";"4,5";"";"SÍ";"SÍ";"Oportunidad SEO Aljarafe";"68";"Alta";"SÍ";"Implantes ortodoncia";"";"";"";"";"";"";"ampliada-v2"
"Camila Mamedio";"Medicina Estética";"Estética avanzada";"https://camilamamedio.com";"";"camilamamedioestetica@gmail.com";"Nervión, Sevilla";"4,6";"";"SÍ";"SÍ";"Oportunidad SEO local";"68";"Alta";"SÍ";"Tratamientos integrativos";"";"";"";"";"";"";"ampliada-v2"
"Central Clinic Sevilla";"MED-EST";"Medicina estética, rejuvenecimiento facial y corporal";"https://www.centralclinic.es";"955 287 227";"info@centralclinic.es";"C/ Amador de los Ríos 48, 41003 Sevilla (Centro)";"";"";"PROBABLE";"PARCIAL";"Pioneros en medicina estética. Web funcional pero SEO mejorable. Oportunidad en marketing digital.";"68";"B";"SÍ";"Web informativa con servicios, blog sin actividad, presencia en Instagram (Dra. Dolores Sánchez)";"Dra. Sánchez como referente, 11+ años de experiencia, ubicación céntrica, trato personalizado";"Web con diseño básico, blog inactivo, poca presencia en Google Maps";"Renovar web y aplicar estrategia SEO, activar blog con contenido educativo, campañas SEM para captación";"Clínicas de estética con más inversión en marketing digital, auge de plataformas low-cost";"";"";"ampliada"
"Centro Médico Zona Este";"Centro Médico";"Medicina general, dermatología, análisis clínicos, fisioterapia";"https://centromedicozonaeste.com";"954 520 010";"info@centromedicozonaeste.com";"C/ Cueva del Agua 5, 41020 Sevilla Este";"4,6";"";"PROBABLE";"PARCIAL";"Desde 1987. Múltiples especialidades. Web mejorable, oportunidad SEO local.";"68";"Alta";"SÍ";"Web informativa con servicios, galería de fotos, testimoniales, presencia en Instagram";"Desde 1987 en Sevilla Este, atención a aseguradoras y particulares, buena reputación local";"Diseño web mejorable, sin blog activo, contenido SEO escaso";"Renovar web con enfoque SEO local, activar blog con contenido de salud, campañas Google Ads zona Este";"Hospital Viamed Sevilla Este, Quirónsalud Sevilla Este con más recursos";"";"";"ampliada+ampliada-v2"
"Esther Mi Psicóloga";"Psicología";"General";"https://www.esthermipsicologa.com/centro-psicologico-sevilla";"";"info@esthermipsicologa.com";"Sevilla";"4,6";"";"SÍ";"SÍ";"Buena web";"68";"Alta";"SÍ";"Centro con psicólogas y psiquiatras";"";"";"";"";"";"";"ampliada-v2"
"Hospital Viamed Santa Ángela Cruz";"Hospital Privado";"Multiespecialidad";"https://www.viamedsalud.com/hospital-santa-angela-de-la-cruz";"";"jvd@viamedsantaangeladelacruz.com";"Sevilla";"4,5";"";"SÍ";"SÍ";"229 profesionales";"68";"Media";"SÍ";"229 profesionales todas especialidades";"";"";"";"";"";"";"ampliada-v2"
"Marpedental";"Odontología";"Dental y Estética";"https://marpedental.com";"";"info@marpedental.com";"Avda. República Argentina, Los Remedios, Sevilla";"4,6";"";"NO";"SÍ";"Sin blog ni contenidos frescos";"68";"Alta";"SÍ";"Combina odontología con medicina estética";"";"";"";"";"";"";"ampliada-v2"
"Martínez Alarcón Podología";"Podología";"Avanzada";"https://martinezalarconpodologos.es";"";"info@martinezalarconpodologos.es";"C. Castilla 67, Sevilla";"4,6";"";"SÍ";"SÍ";"Web moderna";"68";"Alta";"SÍ";"Tecnología avanzada ecografía";"";"";"";"";"";"";"ampliada-v2"
"ORALIS Odontología";"Odontología";"Especializada";"https://www.oralis.es/clinica-odontologia-especializada";"";"rgpd@oralis.es";"Sevilla";"4,7";"";"NO";"SÍ";"40 años, necesidad renovación web";"68";"Alta";"SÍ";"40 años liderando";"";"";"";"";"";"";"ampliada-v2"
"Podovir";"Podología";"General";"https://podovir.com";"";"podovir@hotmail.com";"Sevilla";"4,7";"";"SÍ";"SÍ";"Oportunidad contenido SEO";"68";"Alta";"SÍ";"18 años láser biomecánica";"";"";"";"";"";"";"ampliada-v2"
"Sevilla Dental";"Odontología";"General";"https://sevilladental.net";"955021300";"informacion@sevilladental.net";"Avda. Pinos 20, Dos Hermanas";"4,5";"";"SÍ";"SÍ";"+35 años, oportunidad SEO local";"68";"Alta";"SÍ";"+35 años, Instagram";"";"";"";"";"";"";"ampliada-v2"
"Urología Integral";"Urología";"Oncológica";"https://www.urologiaintegral.es";"";"riveralealurologia@gmail.com";"Sevilla";"4,5";"";"SÍ";"SÍ";"Oportunidad contenido cáncer próstata";"68";"Alta";"SÍ";"Cáncer próstata láser verde";"";"";"";"";"";"";"ampliada-v2"
"Yo Ginecología";"Ginecología";"Obstetricia";"https://yoginecologia.com";"";"info@yoginecologia.com";"Sevilla";"4,6";"";"SÍ";"SÍ";"4 ginecólogas";"68";"Alta";"SÍ";"4 ginecólogas +15 años";"";"";"";"";"";"";"ampliada-v2"
"Clínica Dental EMET";"DENTAL";"Odontología general, estética, implantes, ortodoncia";"https://www.clinicaemet.com";"955 389 614 / 955 344 825";"clinicaemet@gmail.com";"C/ Pelay Correa 83 (Triana) y C/ Feria 128 (Macarena), Sevilla";"";"";"PROBABLE";"PARCIAL";"Dos clínicas. Primera consulta gratuita. Oportunidad clara en Google Ads local.";"67";"B";"SÍ";"Web informativa con dos sedes, blog básico, presencia activa en Instagram y Facebook";"Dos ubicaciones estratégicas (Triana y Macarena), primera consulta gratuita, equipo especializado";"Contenido web genérico, blog poco actualizado, sin diferenciación clara frente a competidores";"Implementar Google Ads local para captar pacientes cerca de cada sede, mejorar contenido SEO";"Cadenas dentales con mayor presupuesto publicitario, Vitaldent en la misma zona";"";"";"ampliada"
"Andromedi Sevilla";"Urología";"Andrología";"https://www.andromedi.com/clinica-sevilla";"";"info@andromedi.com";"Colón 15, Sevilla";"4,5";"";"SÍ";"SÍ";"En centro médico";"66";"Media";"SÍ";"Urología andrología avanzada";"";"";"";"";"";"";"ampliada-v2"
"Centro Gin Estético Nervión";"Ginecología";"General";"";"954582200";"info@medicinaesteticanervion.com";"C. José Luis de Casso 3, Nervión";"4,5";"";"SÍ";"SÍ";"Doble enfoque oportunidad";"66";"Alta";"NO";"Doble enfoque ginecología-estética";"";"";"";"";"";"";"ampliada-v2"
"Clínica Dental Cecilia";"Odontología";"General";"https://clinicadentalcecilia.com";"";"clinicadentalcecilia@gmail.com";"Bormujos";"4,7";"";"NO";"SÍ";"Web básica sin blog";"66";"Alta";"SÍ";"Dra. Cecilia Jiménez";"";"";"";"";"";"";"ampliada-v2"
"IFV Viamed";"Fertilidad";"Reproducción Asistida";"https://www.institutofertilidadviamed.com";"";"info.ifv.sevilla@viamedsalud.com";"Sevilla";"4,5";"";"SÍ";"SÍ";"Web mejorable";"66";"Media";"SÍ";"Instituto fertilidad hospital";"";"";"";"";"";"";"ampliada-v2"
"More Healthy";"Nutrición";"Psicología";"https://www.morehealthy.es/clinica-nutricion-psicologia-sevilla";"";"info.morehealthy@gmail.com";"Sevilla";"4,5";"";"SÍ";"SÍ";"Psiconutrición nicho interesante";"66";"Media";"SÍ";"Psiconutrición online presencial";"";"";"";"";"";"";"ampliada-v2"
"TRAUMAMODERN Dr. Lara";"Traumatología";"Cirugía Ortopédica";"https://traumatologiasevilla.es";"";"doctorlara@traumamodern.es";"Sevilla";"4,5";"";"SÍ";"SÍ";"Web mejorable";"66";"Media";"SÍ";"Artroscopia prótesis";"";"";"";"";"";"";"ampliada-v2"
"Boca & Salud";"Odontología";"Integral";"https://bocaysalud.com";"";"clinica@bocaysalud.com";"Sevilla Este";"4,5";"";"NO";"SÍ";"Dra. Rodríguez Hidalgo, poca visibilidad web";"65";"Media";"SÍ";"Clínica Sevilla Este integral";"";"";"";"";"";"";"ampliada-v2"
"Vithas Hospital Sevilla";"Centro Médico";"Hospital Privado";"https://vithas.es/centro/vithas-hospital-sevilla";"";"";"Sevilla";"4,6";"";"SÍ";"SÍ";"Gran grupo";"65";"Media";"SÍ";"Urgencias 24h";"";"";"";"";"";"";"ampliada-v2"
"Clínica Dental Odens";"Odontología";"General";"https://www.clinicadentalodens.com";"";"info@clinicadentalodens.com";"Sevilla Este";"4,4";"";"NO";"SÍ";"Oportunidad crear contenido SEO";"64";"Media";"SÍ";"Amplia gama servicios";"";"";"";"";"";"";"ampliada-v2"
"Demax Clinic";"Dermatología";"Estética Facial";"https://demaxclinic.com/clinica-estetica-inicio";"";"infodemaxclinic@gmail.com";"Sevilla";"4,6";"";"NO";"SÍ";"Oportunidad SEO contenido";"64";"Media";"SÍ";"Dra. Lara Pérez";"";"";"";"";"";"";"ampliada-v2"
"Hospital Recoletas Capuchinos";"Hospital Privado";"Multiespecialidad";"https://recoletascapuchinos.com";"";"info.hrsc@gruporecoletas.com";"Sevilla";"4,4";"";"SÍ";"SÍ";"Hospital completo";"64";"Media";"SÍ";"Hospital privado completo";"";"";"";"";"";"";"ampliada-v2"
"ILUNION Fisioterapia";"Fisioterapia";"General";"https://www.ilunionbienestaryvidasenior.com/es/fisioterapia/nuestras-clinicas/sevilla";"";"";"C. Leonardo da Vinci 13, 41092 Sevilla";"4,5";"";"SÍ";"SÍ";"Grupo ONCE";"64";"Media";"SÍ";"Centro rehabilitación";"";"";"";"";"";"";"ampliada-v2"
"Masbellezza Nervión";"Medicina Estética";"General";"https://masbellezzanervion.com";"";"info@masbellezzanervion.com";"Nervión, Sevilla";"4,5";"";"SÍ";"SÍ";"25 años sin renovar";"64";"Media";"SÍ";"25 años experiencia";"";"";"";"";"";"";"ampliada-v2"
"Antonio Losada Clínica Dental";"DENTAL";"Implantes, ortodoncia, estética dental, endodoncia";"https://antoniolosadadental.es";"954 867 337";"contacto@antoniolosadadental.es";"C/ Diego de Riaño 7 y Avda. Juan Pablo II 4, Sevilla";"";"";"PROBABLE";"SÍ";"Doctor con múltiples másteres internacionales (NYU). Dos sedes. Oportunidad SEO.";"63";"B";"SÍ";"Web moderna con información de servicios, equipo, presencia en Instagram y Facebook";"Dr. con formación internacional (NYU), dos sedes en Sevilla, equipo de especialistas";"Contenido web limitado, blog sin actividad, poca diferenciación en el mensaje";"Crear contenido SEO basado en la formación internacional del Dr., campañas SEM para implantes";"Clínicas dentales con más presupuesto en marketing, Vitaldent y franquicias";"";"";"ampliada"
"Clínica Dental Carmen Bernal";"Odontología";"Estética";"https://www.clinicacarmenbernal.com";"";"carmen.bernalortega@gmail.com";"Centro, Sevilla";"4,5";"";"NO";"SÍ";"Sin blog activo";"62";"Media";"SÍ";"Web bilingüe";"";"";"";"";"";"";"ampliada-v2"
"Dental Company Sevilla Este";"Odontología";"General";"https://dentalcompany.es/clinica-dental-sevilla-sevilla-este";"954914151";"sevillaeste@dentalcompany.es";"Sevilla Este";"4,4";"";"SÍ";"SÍ";"Cadena con oportunidad de contenido local";"62";"Media";"SÍ";"Cadena con múltiples sedes";"";"";"";"";"";"";"ampliada-v2"
"Dermavit Salud";"Dermatología";"General";"https://www.dermavitsalud.com";"";"info@dermavitsalud.com";"Sevilla";"4,5";"";"SÍ";"SÍ";"Web mejorable";"62";"Media";"SÍ";"Dermatólogos en Viamed";"";"";"";"";"";"";"ampliada-v2"
"Hospital San Juan de Dios Oftalmología";"Oftalmología";"General";"https://sjdsevilla.com/oftalmologo-sevilla";"";"";"Nervión, Sevilla";"4,5";"";"SÍ";"SÍ";"Dentro hospital";"62";"Media";"SÍ";"Servicio oftalmología";"";"";"";"";"";"";"ampliada-v2"
"Centro Médico Xalud";"Centro Médico";"Adultos";"https://www.centroxalud.es";"";"info@centroxalud.es";"Sevilla";"4,4";"";"NO";"SÍ";"Nicho atención adultos";"60";"Media";"SÍ";"Atención integral adultos";"";"";"";"";"";"";"ampliada-v2"
"Clínica Dental Rivas Tello";"Odontología";"General";"http://www.dental-losremedios.es";"";"";"C. Virgen de Luján 31, 41011 Sevilla";"4,5";"";"NO";"SÍ";"Sin presencia web activa";"60";"Media";"SÍ";"Clínica integral con Facebook";"";"";"";"";"";"";"ampliada-v2"
"Clínica Maxilodental Acero";"Odontología";"Cirugía Oral";"";"";"javier@clinicaacero.com";"Av. Eduardo Dato 22, 41018 Sevilla";"5,0";"";"NO";"NO";"Sin web visible";"60";"Media";"NO";"Top Doctors 5 estrellas";"";"";"";"";"";"";"ampliada-v2"
"Clínica Podos Sevilla";"Podología";"Avanzada";"https://www.podojuarez.com";"";"";"Sevilla";"4,6";"";"NO";"SÍ";"Web mejorable";"60";"Media";"SÍ";"25 años equipo multidisciplinar";"";"";"";"";"";"";"ampliada-v2"
"Dental Company Bormujos";"Odontología";"General";"https://dentalcompany.es/clinica-dental-bormujos";"955725937";"bormujos@dentalcompany.es";"Av. Aljarafe, Bormujos";"4,4";"";"SÍ";"SÍ";"Cadena, contenido local mejorable";"60";"Media";"SÍ";"Cadena dental";"";"";"";"";"";"";"ampliada-v2"
"Quirónsalud Centro Médico Sevilla Este";"Centro Médico";"Multiespecialidad";"https://www.quironsalud.com/sagrado-corazon/es/centros-medicos";"";"";"Av. Ciencias, Sevilla Este";"4,5";"";"SÍ";"SÍ";"Dentro gran grupo";"60";"Media";"SÍ";"Consultas y diagnóstico multidisciplinar";"";"";"";"";"";"";"ampliada-v2"
